,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2017,610212,277,56,20.22%,42,15.16%,264,95.31%
2017,610209,921,522,56.68%,99,10.75%,842,91.42%
2017,609836,849,159,18.73%,104,12.25%,404,47.59%
2017,609729,"1,812",320,17.66%,336,18.54%,"1,649",91.00%
2017,610083,173,66,38.15%,114,65.90%,95,54.91%
2017,610564,730,11,1.51%,77,10.55%,432,59.18%
2017,610515,428,60,14.02%,36,8.41%,108,25.23%
2017,610523,564,47,8.33%,91,16.13%,102,18.09%
2017,610137,705,200,28.37%,85,12.06%,463,65.67%
2017,609874,884,440,49.77%,102,11.54%,585,66.18%
2017,610163,239,27,11.30%,104,43.51%,39,16.32%
2017,609737,"1,737",29,1.67%,98,5.64%,"1,302",74.96%
2017,609857,615,232,37.72%,157,25.53%,524,85.20%
2017,610182,360,114,31.67%,82,22.78%,199,55.28%
2017,609972,957,614,64.16%,119,12.43%,847,88.51%
2017,609798,559,133,23.79%,56,10.02%,362,64.76%
2017,609766,206,70,33.98%,206,100.00%,157,76.21%
2017,609912,638,213,33.39%,171,26.80%,399,62.54%
2017,609796,"1,101",198,17.98%,111,10.08%,540,49.05%
2017,610089,561,162,28.88%,88,15.69%,442,78.79%
2017,610111,833,282,33.85%,104,12.48%,636,76.35%
2017,609937,790,174,22.03%,97,12.28%,318,40.25%
2017,610159,800,327,40.88%,89,11.13%,723,90.38%
2017,610127,879,292,33.22%,109,12.40%,629,71.56%
2017,609792,"1,061",376,35.44%,132,12.44%,900,84.83%
2017,609810,"1,105",301,27.24%,115,10.41%,722,65.34%
2017,610354,327,169,51.68%,74,22.63%,268,81.96%
2017,609749,"1,069",6,0.56%,63,5.89%,441,41.25%
2017,609744,228,66,28.95%,228,100.00%,185,81.14%
2017,610099,411,20,4.87%,62,15.09%,73,17.76%
2017,610201,840,78,9.29%,91,10.83%,379,45.12%
2017,610105,733,74,10.10%,82,11.19%,158,21.56%
2017,609988,548,294,53.65%,70,12.77%,473,86.31%
2017,610145,852,305,35.80%,174,20.42%,647,75.94%
2017,610135,933,135,14.47%,122,13.08%,713,76.42%
2017,609995,593,140,23.61%,82,13.83%,325,54.81%
2017,610155,583,98,16.81%,56,9.61%,161,27.62%
2017,609728,"1,198",312,26.04%,244,20.37%,"1,094",91.32%
2017,609794,275,2,0.73%,12,4.36%,28,10.18%
2017,610230,487,36,7.39%,59,12.11%,67,13.76%
2017,609884,788,208,26.40%,88,11.17%,459,58.25%
2017,609994,"1,048",531,50.67%,129,12.31%,980,93.51%
2017,609734,"3,289",196,5.96%,402,12.22%,"1,747",53.12%
2017,610104,639,67,10.49%,87,13.62%,220,34.43%
2017,609949,"1,228",329,26.79%,162,13.19%,"1,044",85.02%
2017,609804,830,403,48.55%,97,11.69%,717,86.39%
2017,609859,"1,173",552,47.06%,82,6.99%,945,80.56%
2017,609852,606,143,23.60%,104,17.16%,391,64.52%
2017,609918,199,56,28.14%,32,16.08%,185,92.96%
2017,609779,"1,433",472,32.94%,140,9.77%,"1,291",90.09%
2017,610196,686,312,45.48%,97,14.14%,495,72.16%
2017,610122,"1,028",187,18.19%,97,9.44%,650,63.23%
2017,610070,737,190,25.78%,187,25.37%,623,84.53%
2017,609866,948,57,6.01%,109,11.50%,209,22.05%
2017,610269,421,147,34.92%,107,25.42%,360,85.51%
2017,609865,508,221,43.50%,78,15.35%,435,85.63%
2017,610242,398,140,35.18%,84,21.11%,319,80.15%
2017,610022,793,426,53.72%,166,20.93%,655,82.60%
2017,609719,"1,298",62,4.78%,194,14.95%,"1,071",82.51%
2017,609817,790,384,48.61%,71,8.99%,554,70.13%
2017,610355,456,115,25.22%,143,31.36%,393,86.18%
2017,610011,875,223,25.49%,118,13.49%,564,64.46%
2017,610284,683,343,50.22%,90,13.18%,541,79.21%
2017,609730,"1,415",232,16.40%,190,13.43%,"1,160",81.98%
2017,610147,783,296,37.80%,107,13.67%,591,75.48%
2017,610141,549,46,8.38%,61,11.11%,226,41.17%
2017,609695,"1,172",114,9.73%,137,11.69%,996,84.98%
2017,609733,626,224,35.78%,156,24.92%,534,85.30%
2017,609880,292,1,0.34%,15,5.14%,40,13.70%
2017,609933,363,109,30.03%,65,17.91%,341,93.94%
2017,609976,"1,049",479,45.66%,122,11.63%,891,84.94%
2017,609724,"1,502",398,26.50%,172,11.45%,"1,270",84.55%
2017,610191,626,96,15.34%,52,8.31%,309,49.36%
2017,610220,634,83,13.09%,52,8.20%,241,38.01%
2017,610394,301,29,9.63%,108,35.88%,282,93.69%
2017,610542,796,349,43.84%,90,11.31%,695,87.31%
2017,609945,727,314,43.19%,84,11.55%,577,79.37%
2017,609922,575,392,68.17%,77,13.39%,524,91.13%
2017,609679,"1,377",75,5.45%,179,13.00%,"1,053",76.47%
2017,609732,"1,374",232,16.89%,256,18.63%,"1,246",90.68%
2017,609904,638,6,0.94%,117,18.34%,546,85.58%
2017,609708,894,201,22.48%,179,20.02%,842,94.18%
2017,610235,876,58,6.62%,114,13.01%,830,94.75%
2017,610165,855,464,54.27%,93,10.88%,795,92.98%
2017,610245,175,2,1.14%,58,33.14%,166,94.86%
2017,610305,479,1,0.21%,75,15.66%,435,90.81%
2017,609795,250,37,14.80%,26,10.40%,220,88.00%
2017,610068,"1,541",671,43.54%,255,16.55%,"1,453",94.29%
2017,610158,459,56,12.20%,56,12.20%,309,67.32%
2017,610092,336,5,1.49%,35,10.42%,300,89.29%
2017,609975,425,17,4.00%,40,9.41%,406,95.53%
2017,610043,404,24,5.94%,47,11.63%,372,92.08%
2017,610041,"1,359",399,29.36%,197,14.50%,"1,171",86.17%
2017,609910,"1,207",518,42.92%,145,12.01%,"1,107",91.71%
2017,609818,934,350,37.47%,125,13.38%,873,93.47%
2017,610539,972,366,37.65%,117,12.04%,791,81.38%
2017,610046,"1,504",473,31.45%,181,12.03%,"1,396",92.82%
2017,610244,548,6,1.09%,67,12.23%,526,95.99%
2017,609830,539,16,2.97%,73,13.54%,503,93.32%
2017,610051,492,124,25.20%,66,13.41%,475,96.54%
2017,610367,614,8,1.30%,113,18.40%,592,96.42%
2017,610183,696,4,0.57%,87,12.50%,683,98.13%
2017,610518,304,5,1.64%,78,25.66%,289,95.07%
2017,610038,853,75,8.79%,46,5.39%,139,16.30%
2017,609720,"4,195",22,0.52%,190,4.53%,"2,099",50.04%
2017,609799,961,42,4.37%,104,10.82%,136,14.15%
2017,610039,648,197,30.40%,92,14.20%,513,79.17%
2017,609875,523,198,37.86%,82,15.68%,424,81.07%
2017,610402,196,1,0.51%,3,1.53%,135,68.88%
2017,610541,858,370,43.12%,129,15.03%,791,92.19%
2017,610144,998,436,43.69%,117,11.72%,927,92.89%
2017,609926,365,12,3.29%,42,11.51%,146,40.00%
2017,609930,449,177,39.42%,66,14.70%,435,96.88%
2017,610010,344,62,18.02%,66,19.19%,208,60.47%
2017,610048,356,4,1.12%,66,18.54%,317,89.04%
2017,609850,614,153,24.92%,62,10.10%,495,80.62%
2017,610078,716,216,30.17%,68,9.50%,355,49.58%
2017,609803,884,59,6.67%,86,9.73%,147,16.63%
2017,610074,899,256,28.48%,107,11.90%,824,91.66%
2017,609942,790,129,16.33%,96,12.15%,560,70.89%
2017,609789,726,287,39.53%,68,9.37%,610,84.02%
2017,609782,560,30,5.36%,56,10.00%,118,21.07%
2017,609716,533,159,29.83%,96,18.01%,510,95.68%
2017,610033,563,17,3.02%,65,11.55%,174,30.91%
2017,610325,777,255,32.82%,88,11.33%,722,92.92%
2017,609809,475,100,21.05%,66,13.89%,333,70.11%
2017,610094,822,92,11.19%,80,9.73%,183,22.26%
2017,609774,640,31,4.84%,59,9.22%,80,12.50%
2017,610524,331,19,5.74%,41,12.39%,263,79.46%
2017,610059,730,26,3.56%,72,9.86%,105,14.38%
2017,609853,458,176,38.43%,98,21.40%,408,89.08%
2017,609968,764,279,36.52%,94,12.30%,669,87.57%
2017,610095,574,37,6.45%,90,15.68%,339,59.06%
2017,610136,375,53,14.13%,46,12.27%,154,41.07%
2017,610097,883,416,47.11%,102,11.55%,847,95.92%
2017,610088,710,290,40.85%,90,12.68%,677,95.35%
2017,610334,416,12,2.88%,114,27.40%,407,97.84%
2017,610342,602,104,17.28%,68,11.30%,518,86.05%
2017,610131,144,28,19.44%,22,15.28%,139,96.53%
2017,610005,275,,,34,12.36%,262,95.27%
2017,610194,267,,,30,11.24%,248,92.88%
2017,609863,294,111,37.76%,28,9.52%,221,75.17%
2017,609873,305,7,2.30%,42,13.77%,271,88.85%
2017,609835,783,207,26.44%,112,14.30%,758,96.81%
2017,610221,311,,,33,10.61%,228,73.31%
2017,610503,252,,,25,9.92%,218,86.51%
2017,609854,461,143,31.02%,115,24.95%,404,87.64%
2017,610293,509,,,66,12.97%,495,97.25%
2017,610202,346,3,0.87%,43,12.43%,307,88.73%
2017,609693,"1,150",16,1.39%,75,6.52%,921,80.09%
2017,610192,692,268,38.73%,121,17.49%,665,96.10%
2017,609985,368,,,41,11.14%,357,97.01%
2017,609797,482,,,63,13.07%,418,86.72%
2017,610044,509,157,30.84%,138,27.11%,481,94.50%
2017,610271,450,9,2.00%,61,13.56%,403,89.56%
2017,609723,370,,,107,28.92%,365,98.65%
2017,609954,356,,,61,17.13%,342,96.07%
2017,610313,656,63,9.60%,89,13.57%,565,86.13%
2017,609925,347,,,19,5.48%,301,86.74%
2017,610133,513,8,1.56%,54,10.53%,460,89.67%
2017,610034,301,,,27,8.97%,299,99.34%
2017,609907,467,2,0.43%,38,8.14%,405,86.72%
2017,609722,177,2,1.13%,47,26.55%,156,88.14%
2017,610055,306,1,0.33%,50,16.34%,305,99.67%
2017,609691,961,189,19.67%,155,16.13%,905,94.17%
2017,610234,508,159,31.30%,159,31.30%,461,90.75%
2017,610056,370,1,0.27%,52,14.05%,331,89.46%
2017,610100,648,219,33.80%,80,12.35%,568,87.65%
2017,610251,394,2,0.51%,76,19.29%,357,90.61%
2017,610123,362,17,4.70%,98,27.07%,331,91.44%
2017,610229,747,48,6.43%,71,9.50%,359,48.06%
2017,609947,449,86,19.15%,48,10.69%,394,87.75%
2017,610060,561,54,9.63%,36,6.42%,235,41.89%
2017,609996,498,123,24.70%,57,11.45%,427,85.74%
2017,610012,238,,,43,18.07%,228,95.80%
2017,610009,577,80,13.86%,54,9.36%,343,59.45%
2017,610062,366,62,16.94%,81,22.13%,324,88.52%
2017,610107,497,164,33.00%,133,26.76%,446,89.74%
2017,610217,558,234,41.94%,37,6.63%,403,72.22%
2017,609959,671,232,34.58%,19,2.83%,553,82.41%
2017,610180,436,8,1.83%,76,17.43%,399,91.51%
2017,609828,445,60,13.48%,50,11.24%,172,38.65%
2017,610081,563,49,8.70%,36,6.39%,264,46.89%
2017,610529,716,34,4.75%,87,12.15%,370,51.68%
2017,609777,274,86,31.39%,43,15.69%,232,84.67%
2017,610138,911,150,16.47%,78,8.56%,681,74.75%
2017,609769,119,34,28.57%,119,100.00%,109,91.60%
2017,610561,590,5,0.85%,23,3.90%,511,86.61%
2017,609979,"1,472",366,24.86%,81,5.50%,"1,254",85.19%
2017,610252,309,4,1.29%,101,32.69%,299,96.76%
2017,610029,232,115,49.57%,65,28.02%,203,87.50%
2017,610250,366,133,36.34%,71,19.40%,290,79.23%
2017,609750,64,3,4.69%,10,15.63%,63,98.44%
2017,610548,461,33,7.16%,26,5.64%,155,33.62%
2017,610405,411,17,4.14%,47,11.44%,207,50.36%
2017,609896,353,13,3.68%,21,5.95%,99,28.05%
2017,610121,478,31,6.49%,81,16.95%,421,88.08%
2017,610101,836,124,14.83%,64,7.66%,173,20.69%
2017,609812,286,11,3.85%,85,29.72%,249,87.06%
2017,610308,93,37,39.78%,84,90.32%,70,75.27%
2017,609966,458,200,43.67%,91,19.87%,436,95.20%
2017,610063,794,381,47.98%,81,10.20%,691,87.03%
2017,609870,544,215,39.52%,74,13.60%,462,84.93%
2017,609704,843,217,25.74%,186,22.06%,809,95.97%
2017,610227,"1,035",524,50.63%,84,8.12%,936,90.43%
2017,610215,336,54,16.07%,54,16.07%,327,97.32%
2017,609920,660,309,46.82%,70,10.61%,649,98.33%
2017,610383,304,70,23.03%,64,21.05%,288,94.74%
2017,610384,409,48,11.74%,56,13.69%,387,94.62%
2017,610125,773,225,29.11%,87,11.25%,661,85.51%
2017,610216,365,88,24.11%,72,19.73%,314,86.03%
2017,610228,269,176,65.43%,32,11.90%,241,89.59%
2017,610184,596,258,43.29%,84,14.09%,520,87.25%
2017,609950,596,372,62.42%,58,9.73%,516,86.58%
2017,609938,"1,118",455,40.70%,165,14.76%,"1,047",93.65%
2017,610015,291,130,44.67%,71,24.40%,267,91.75%
2017,610129,475,189,39.79%,72,15.16%,455,95.79%
2017,610024,614,327,53.26%,78,12.70%,594,96.74%
2017,609834,834,399,47.84%,95,11.39%,813,97.48%
2017,609872,311,92,29.58%,41,13.18%,279,89.71%
2017,610017,"1,085",384,35.39%,117,10.78%,972,89.59%
2017,610385,251,68,27.09%,64,25.50%,245,97.61%
2017,610329,568,189,33.27%,73,12.85%,497,87.50%
2017,609867,493,282,57.20%,76,15.42%,435,88.24%
2017,610013,360,131,36.39%,96,26.67%,329,91.39%
2017,609826,611,125,20.46%,92,15.06%,598,97.87%
2017,610357,162,40,24.69%,32,19.75%,157,96.91%
2017,609921,288,189,65.63%,55,19.10%,245,85.07%
2017,609967,428,144,33.64%,78,18.22%,402,93.93%
2017,610392,340,70,20.59%,46,13.53%,334,98.24%
2017,609993,474,176,37.13%,54,11.39%,427,90.08%
2017,610563,"1,044",98,9.39%,86,8.24%,"1,010",96.74%
2017,610317,490,189,38.57%,42,8.57%,449,91.63%
2017,610353,807,438,54.28%,104,12.89%,687,85.13%
2017,610170,"1,165",440,37.77%,104,8.93%,"1,026",88.07%
2017,609909,200,80,40.00%,27,13.50%,185,92.50%
2017,609735,280,11,3.93%,104,37.14%,265,94.64%
2017,609682,252,63,25.00%,69,27.38%,214,84.92%
2017,610319,303,52,17.16%,44,14.52%,288,95.05%
2017,609709,336,68,20.24%,66,19.64%,319,94.94%
2017,610532,"1,045",181,17.32%,132,12.63%,"1,009",96.56%
2017,609983,692,423,61.13%,94,13.58%,654,94.51%
2017,610174,957,406,42.42%,88,9.20%,930,97.18%
2017,610559,654,100,15.29%,125,19.11%,641,98.01%
2017,609829,481,172,35.76%,53,11.02%,406,84.41%
2017,609964,610,312,51.15%,81,13.28%,595,97.54%
2017,609694,892,33,3.70%,50,5.61%,805,90.25%
2017,610117,"1,266",398,31.44%,126,9.95%,"1,147",90.60%
2017,609756,"2,951",284,9.62%,289,9.79%,"2,722",92.24%
2017,609876,776,408,52.58%,96,12.37%,757,97.55%
2017,609952,554,231,41.70%,57,10.29%,500,90.25%
2017,610239,612,296,48.37%,50,8.17%,600,98.04%
2017,610157,"1,660",535,32.23%,120,7.23%,"1,521",91.63%
2017,610226,"1,014",525,51.78%,81,7.99%,939,92.60%
2017,609715,"2,075",486,23.42%,347,16.72%,"1,951",94.02%
2017,610504,161,116,72.05%,55,34.16%,78,48.45%
2017,609855,390,181,46.41%,224,57.44%,337,86.41%
2017,610167,738,296,40.11%,72,9.76%,688,93.22%
2017,610175,355,23,6.48%,29,8.17%,266,74.93%
2017,609969,330,20,6.06%,50,15.15%,236,71.52%
2017,610381,376,7,1.86%,58,15.43%,353,93.88%
2017,610345,342,5,1.46%,65,19.01%,315,92.11%
2017,610030,285,5,1.75%,44,15.44%,242,84.91%
2017,610380,237,2,0.84%,28,11.81%,228,96.20%
2017,609751,642,13,2.02%,63,9.81%,488,76.01%
2017,609819,435,,,57,13.10%,377,86.67%
2017,610246,"1,353",3,0.22%,83,6.13%,"1,090",80.56%
2017,610065,360,,,54,15.00%,353,98.06%
2017,609713,745,4,0.54%,153,20.54%,720,96.64%
2017,610110,392,2,0.51%,21,5.36%,345,88.01%
2017,610276,381,5,1.31%,32,8.40%,327,85.83%
2017,610256,130,2,1.54%,12,9.23%,101,77.69%
2017,609891,287,3,1.05%,33,11.50%,256,89.20%
2017,610213,576,2,0.35%,67,11.63%,480,83.33%
2017,609894,418,2,0.48%,74,17.70%,380,90.91%
2017,609919,464,1,0.22%,43,9.27%,432,93.10%
2017,610126,628,16,2.55%,63,10.03%,472,75.16%
2017,609746,"1,784",17,0.95%,105,5.89%,"1,073",60.15%
2017,610237,406,3,0.74%,61,15.02%,404,99.51%
2017,609676,561,7,1.25%,142,25.31%,550,98.04%
2017,610090,520,12,2.31%,45,8.65%,289,55.58%
2017,609987,225,3,1.33%,76,33.78%,213,94.67%
2017,610587,149,1,0.67%,22,14.77%,131,87.92%
2017,610143,239,1,0.42%,36,15.06%,232,97.07%
2017,610142,718,83,11.56%,82,11.42%,361,50.28%
2017,609977,195,2,1.03%,13,6.67%,186,95.38%
2017,610185,"1,273",479,37.63%,190,14.93%,"1,028",80.75%
2017,609788,321,,,45,14.02%,233,72.59%
2017,610287,507,33,6.51%,88,17.36%,402,79.29%
2017,609871,336,76,22.62%,149,44.35%,185,55.06%
2017,610087,154,68,44.16%,134,87.01%,97,62.99%
2017,609839,502,4,0.80%,79,15.74%,420,83.67%
2017,609879,"1,045",250,23.92%,173,16.56%,985,94.26%
2017,610347,434,26,5.99%,93,21.43%,419,96.54%
2017,610077,753,248,32.93%,88,11.69%,723,96.02%
2017,610352,712,254,35.67%,88,12.36%,568,79.78%
2017,610006,866,278,32.10%,76,8.78%,748,86.37%
2017,610195,616,3,0.49%,82,13.31%,201,32.63%
2017,609908,321,2,0.62%,41,12.77%,278,86.60%
2017,610057,592,254,42.91%,66,11.15%,563,95.10%
2017,610067,813,59,7.26%,120,14.76%,758,93.23%
2017,609849,410,14,3.41%,79,19.27%,93,22.68%
2017,609741,"1,772",246,13.88%,236,13.32%,"1,681",94.86%
2017,609861,516,6,1.16%,86,16.67%,226,43.80%
2017,609893,737,90,12.21%,127,17.23%,375,50.88%
2017,609898,"1,423",472,33.17%,138,9.70%,"1,367",96.06%
2017,609718,"1,658",108,6.51%,284,17.13%,"1,259",75.93%
2017,610207,287,,,30,10.45%,201,70.03%
2017,610016,250,1,0.40%,35,14.00%,91,36.40%
2017,609807,563,102,18.12%,92,16.34%,503,89.34%
2017,610544,948,262,27.64%,93,9.81%,814,85.86%
2017,610206,"1,147",186,16.22%,102,8.89%,900,78.47%
2017,609832,654,54,8.26%,107,16.36%,368,56.27%
2017,609725,"1,420",3,0.21%,135,9.51%,"1,216",85.63%
2017,609960,974,127,13.04%,135,13.86%,651,66.84%
2017,609981,359,124,34.54%,109,30.36%,327,91.09%
2017,609956,467,145,31.05%,51,10.92%,387,82.87%
2017,610558,861,38,4.41%,154,17.89%,727,84.44%
2017,610109,263,6,2.28%,29,11.03%,154,58.56%
2017,609698,798,71,8.90%,183,22.93%,738,92.48%
2017,609869,316,4,1.27%,29,9.18%,310,98.10%
2017,610037,375,55,14.67%,81,21.60%,367,97.87%
2017,609941,505,14,2.77%,62,12.28%,484,95.84%
2017,610290,423,,,81,19.15%,381,90.07%
2017,610238,321,1,0.31%,71,22.12%,285,88.79%
2017,610366,289,,,37,12.80%,217,75.09%
2017,609986,263,9,3.42%,33,12.55%,252,95.82%
2017,609897,454,5,1.10%,69,15.20%,423,93.17%
2017,609790,434,,,74,17.05%,413,95.16%
2017,609748,270,2,0.74%,54,20.00%,270,100.00%
2017,610223,508,10,1.97%,94,18.50%,454,89.37%
2017,610299,235,,,34,14.47%,212,90.21%
2017,609924,404,,,61,15.10%,374,92.57%
2017,609927,378,2,0.53%,81,21.43%,321,84.92%
2017,610112,563,2,0.36%,51,9.06%,500,88.81%
2017,609768,136,8,5.88%,48,35.29%,135,99.26%
2017,610173,334,3,0.90%,64,19.16%,330,98.80%
2017,609864,366,2,0.55%,50,13.66%,340,92.90%
2017,610019,278,1,0.36%,43,15.47%,257,92.45%
2017,609793,519,2,0.39%,72,13.87%,506,97.50%
2017,610108,401,14,3.49%,56,13.97%,392,97.76%
2017,610369,320,,,60,18.75%,283,88.44%
2017,610362,316,4,1.27%,43,13.61%,280,88.61%
2017,609783,259,5,1.93%,82,31.66%,222,85.71%
2017,609692,"1,323",,,127,9.60%,"1,203",90.93%
2017,610300,422,5,1.18%,77,18.25%,361,85.55%
2017,609997,212,2,0.94%,30,14.15%,181,85.38%
2017,610003,358,,,57,15.92%,329,91.90%
2017,609707,151,,,56,37.09%,151,100.00%
2017,609791,449,,,65,14.48%,428,95.32%
2017,610102,466,,,68,14.59%,433,92.92%
2017,609929,378,121,32.01%,45,11.90%,364,96.30%
2017,610391,"1,294",16,1.24%,72,5.56%,834,64.45%
2017,610027,310,,,39,12.58%,243,78.39%
2017,609805,407,,,62,15.23%,373,91.65%
2017,610521,261,8,3.07%,33,12.64%,247,94.64%
2017,609745,270,33,12.22%,270,100.00%,230,85.19%
2017,610506,160,,,21,13.13%,143,89.38%
2017,609895,263,,,36,13.69%,189,71.86%
2017,610032,379,1,0.26%,60,15.83%,338,89.18%
2017,610153,395,2,0.51%,111,28.10%,349,88.35%
2017,609711,167,1,0.60%,46,27.54%,166,99.40%
2017,610281,565,26,4.60%,66,11.68%,516,91.33%
2017,610316,250,7,2.80%,22,8.80%,176,70.40%
2017,610171,572,148,25.87%,72,12.59%,552,96.50%
2017,609887,584,3,0.51%,66,11.30%,466,79.79%
2017,610268,279,2,0.72%,33,11.83%,266,95.34%
2017,609786,298,1,0.34%,37,12.42%,286,95.97%
2017,610323,328,26,7.93%,97,29.57%,292,89.02%
2017,609827,513,1,0.19%,66,12.87%,420,81.87%
2017,609833,274,3,1.09%,40,14.60%,219,79.93%
2017,609813,211,2,0.95%,21,9.95%,210,99.53%
2017,609674,923,18,1.95%,266,28.82%,867,93.93%
2017,609815,603,8,1.33%,85,14.10%,597,99.00%
2017,609862,473,3,0.63%,68,14.38%,439,92.81%
2017,609712,151,,,54,35.76%,146,96.69%
2017,609939,554,1,0.18%,80,14.44%,516,93.14%
2017,610124,371,5,1.35%,50,13.48%,359,96.77%
2017,610279,346,4,1.16%,73,21.10%,311,89.88%
2017,610052,390,1,0.26%,49,12.56%,336,86.15%
2017,610066,196,1,0.51%,10,5.10%,64,32.65%
2017,610047,230,1,0.43%,29,12.61%,222,96.52%
2017,610200,336,47,13.99%,108,32.14%,319,94.94%
2017,610093,285,4,1.40%,127,44.56%,249,87.37%
2017,609710,484,,,109,22.52%,452,93.39%
2017,610130,287,2,0.70%,34,11.85%,243,84.67%
2017,610218,280,8,2.86%,39,13.93%,266,95.00%
2017,610152,405,,,44,10.86%,350,86.42%
2017,609961,373,34,9.12%,36,9.65%,326,87.40%
2017,610115,330,1,0.30%,32,9.70%,330,100.00%
2017,610116,251,,,35,13.94%,210,83.67%
2017,610146,225,,,26,11.56%,191,84.89%
2017,610350,444,6,1.35%,22,4.95%,365,82.21%
2017,610530,453,1,0.22%,86,18.98%,381,84.11%
2017,610547,591,4,0.68%,51,8.63%,497,84.09%
2017,610178,215,,,38,17.67%,197,91.63%
2017,610002,250,,,27,10.80%,200,80.00%
2017,610193,458,57,12.45%,98,21.40%,453,98.91%
